ImageId,Feature_LBP_1,Feature_LBP_2,Feature_LBP_3,Feature_LBP_4,Feature_LBP_5,Feature_LBP_6,Feature_LBP_7,Feature_LBP_8,Feature_LBP_9,Feature_LBP_10,Classe
Foto_1,-0.5189907770502169,-0.10762665680289668,-1.7321971007818273,-0.7142298186687023,-0.5765635921135283,0.8048207339796798,-0.4757657613244501,0.24925214950438088,1.2014738194631882,1.8698270037943754,Freeflowing
Foto_2,-0.6569397283647194,-0.5565258316451109,-0.683425712716848,-0.26789651498729933,-0.514759471705216,1.1507529582324827,-0.3639930992392531,-0.3348391128003716,2.5978772900872453,-0.37025077686090985,Freeflowing
Foto_3,-1.0218862393503079,-0.704129344289363,-1.053477046271368,0.008713596616394096,-0.2906354236737546,1.746368744739957,-0.22922225194935242,-0.08308462603971477,2.003677072867982,-0.3763244826504729,Freeflowing
Foto_4,-1.077125320207626,-0.6794595797272749,-1.1778416312348527,-0.0666884483914508,-0.23846464234228518,1.697965310878136,-0.23894607786344774,-0.06755503232954357,1.9910632561619588,-0.14294783494361496,Freeflowing
Foto_5,-1.0499458232936927,-0.6152326803176205,-1.4390966920801704,-0.19420112675825377,-0.3284355889598911,1.7168329572392893,-0.2751290188740485,0.07117007928652201,1.778012894819651,0.3360249989382144,Freeflowing
Foto_6,-0.7239979382787567,-0.5496911756332852,-1.0011621349192683,-0.3877996588177506,-0.531849398513442,1.2207557677841385,-0.38039984342242394,-0.15240330907530486,2.4654047172780764,0.04114297359801594,Freeflowing
Foto_7,-0.7125476191301731,-0.5357180288339339,-0.8980206109887537,-0.36796401017815356,-0.5246976918419484,1.167104107293719,-0.3862592101517766,-0.1907742781501503,2.536290943114985,-0.08741360113381495,Freeflowing
Foto_8,-1.112114316022053,-0.593409822337889,-1.3994996260517902,-0.19166446645652518,-0.27396904491034746,1.7480007268191171,-0.2306508457241252,0.021708606106466726,1.7799324279335327,0.2516663606436121,Freeflowing
Foto_9,-0.6984286760884572,-0.5766834048000946,-0.7616285474574045,-0.2765541132591843,-0.4782104907593923,1.1547238964565587,-0.36594239627790826,-0.2729090452565386,2.58061842112224,-0.3049856436798198,Freeflowing
Foto_10,-0.6518128076043376,-0.5463342793230591,-0.6993944447628625,-0.2824862637086243,-0.5147311728150059,1.107595337912002,-0.37072213707910884,-0.3123195962522265,2.619032868523553,-0.3488275048903296,Freeflowing
Foto_11,-0.6664242687879315,-0.5537886478559866,-0.6729079158751905,-0.2586643906578314,-0.505516238885153,1.1439330452917715,-0.3609356414283916,-0.33793525833052385,2.6017597962109456,-0.3895204796817087,Freeflowing
Foto_12,-0.9894936735657174,-0.6847665919996545,-1.006651729960203,-0.0037061401812089364,-0.3288703733638147,1.697686731895976,-0.2587892452458938,-0.08896261595469698,2.0747064244041376,-0.4111527860289253,Freeflowing
