ImageId,Classe,Feature_LBP_1,Feature_LBP_2,Feature_LBP_3,Feature_LBP_4,Feature_LBP_5,Feature_LBP_6,Feature_LBP_7,Feature_LBP_8,Feature_LBP_9,Feature_LBP_10
Parteck 50.jpg,Cohesive,0.07170952690972222,0.10304090711805555,0.049601236979166664,0.0906643337673611,0.07480875651041667,0.11472574869791667,0.0725436740451389,0.0896267361111111,0.11030409071180555,0.22297498914930555
Parteck 50.jpg,Cohesive,0.07117377387152778,0.10444471571180555,0.04922146267361111,0.0895657009548611,0.072509765625,0.1079440646701389,0.0724216037326389,0.09278700086805555,0.1130099826388889,0.2269219292534722
Parteck 50.jpg,Cohesive,0.06117078993055555,0.09375,0.045247395833333336,0.09765625,0.08454047309027778,0.13191053602430555,0.0746188693576389,0.0906982421875,0.11077202690972222,0.20963541666666666
Parteck 50.jpg,Cohesive,0.054056803385416664,0.08927408854166667,0.042378743489583336,0.09928385416666667,0.08795844184027778,0.1429375542534722,0.07445610894097222,0.0914306640625,0.1163058810763889,0.20191786024305555
Mowiol 18-88.jpg,Cohesive,0.011250813802083334,0.04476589626736111,0.009691026475694444,0.10382758246527778,0.1438056098090278,0.3112725151909722,0.0683254665798611,0.07457139756944445,0.15305582682291666,0.0794338650173611
Mowiol 18-88.jpg,Cohesive,0.011203342013888888,0.04513210720486111,0.008802625868055556,0.10017225477430555,0.14283582899305555,0.3109809027777778,0.06748453776041667,0.07622612847222222,0.15875244140625,0.07840983072916667
Mowiol 18-88.jpg,Cohesive,0.012295193142361112,0.04426405164930555,0.0106201171875,0.10418023003472222,0.1483832465277778,0.3094685872395833,0.07041422526041667,0.07532416449652778,0.1465793185763889,0.07847086588541667
Mowiol 18-88.jpg,Cohesive,0.012051052517361112,0.04442003038194445,0.009548611111111112,0.1017727322048611,0.1472100151909722,0.3065999348958333,0.06858317057291667,0.07761637369791667,0.15458170572916666,0.07761637369791667
Cetyl alcohol.jpg,Cohesive,0.053154839409722224,0.08173285590277778,0.0374755859375,0.09682210286458333,0.10052490234375,0.1676093207465278,0.07685004340277778,0.08954535590277778,0.1075778537326389,0.18870713975694445
Cetyl alcohol.jpg,Cohesive,0.048502604166666664,0.08020697699652778,0.037835015190972224,0.1003078884548611,0.09712727864583333,0.1673923068576389,0.0763821072048611,0.09025065104166667,0.109375,0.1926201714409722
Cetyl alcohol.jpg,Cohesive,0.050849066840277776,0.08149549696180555,0.039794921875,0.10089789496527778,0.09880235460069445,0.1641167534722222,0.07544623480902778,0.0890163845486111,0.108642578125,0.19093831380208334
Cetyl alcohol.jpg,Cohesive,0.050421820746527776,0.08311631944444445,0.03934054904513889,0.09940592447916667,0.0964084201388889,0.16181776258680555,0.07470703125,0.08997938368055555,0.11092122395833333,0.1938815646701389
Potasium chloride.jpg,Cohesive,0.015713161892361112,0.04374864366319445,0.008253309461805556,0.10160319010416667,0.13871256510416666,0.3019951714409722,0.06911214192708333,0.08439127604166667,0.1647610134548611,0.07170952690972222
Potasium chloride.jpg,Cohesive,0.015279134114583334,0.044270833333333336,0.008456759982638888,0.10007731119791667,0.13413492838541666,0.2960272894965278,0.0687255859375,0.0854153103298611,0.1703423394097222,0.0772705078125
Potasium chloride.jpg,Cohesive,0.013956705729166666,0.04050021701388889,0.008293999565972222,0.1031833224826389,0.14097764756944445,0.3058336046006944,0.0694851345486111,0.08500840928819445,0.16196695963541666,0.07079399956597222
Potasium chloride.jpg,Cohesive,0.014316134982638888,0.041754828559027776,0.008029513888888888,0.10213216145833333,0.13886854383680555,0.2996893988715278,0.06778971354166667,0.0854220920138889,0.1741265190972222,0.06787109375
ParacetamolPowder.jpg,Cohesive,0.04129367404513889,0.0788845486111111,0.03584120008680555,0.101806640625,0.10302734375,0.1700439453125,0.07744004991319445,0.09021674262152778,0.1136135525173611,0.1878323025173611
ParacetamolPowder.jpg,Cohesive,0.037238226996527776,0.07258436414930555,0.032755533854166664,0.10382758246527778,0.1064792209201389,0.1796332465277778,0.07627360026041667,0.09177652994791667,0.11876763237847222,0.1806640625
ParacetamolPowder.jpg,Cohesive,0.042426215277777776,0.07720269097222222,0.035346137152777776,0.10175238715277778,0.10451253255208333,0.17413330078125,0.0757107204861111,0.08947075737847222,0.11338975694444445,0.18605550130208334
ParacetamolPowder.jpg,Cohesive,0.03616672092013889,0.0721774631076389,0.03158908420138889,0.10376654730902778,0.10761176215277778,0.1866794162326389,0.0773654513888889,0.09003363715277778,0.1199069552951389,0.17470296223958334
Lidocaine.jpg,Cohesive,0.03270128038194445,0.0735812717013889,0.05419921875,0.12394883897569445,0.15211995442708334,0.15736219618055555,0.10436333550347222,0.07984076605902778,0.08831787109375,0.13356526692708334
Lidocaine.jpg,Cohesive,0.029181586371527776,0.07093641493055555,0.05195448133680555,0.12766520182291666,0.1615668402777778,0.1621025933159722,0.10630967881944445,0.07926432291666667,0.08947075737847222,0.1215481228298611
Lidocaine.jpg,Cohesive,0.031778971354166664,0.0722927517361111,0.055826822916666664,0.12664794921875,0.15257432725694445,0.1572197808159722,0.10346137152777778,0.07746717664930555,0.0889010959201389,0.13382975260416666
Lidocaine.jpg,Cohesive,0.03300645616319445,0.0723537868923611,0.05374484592013889,0.12569173177083334,0.15355088975694445,0.16059705946180555,0.10656060112847222,0.0783420138888889,0.08826361762152778,0.12788899739583334
Calcium Phosphate Dibasic.jpg,Cohesive,0.08672417534722222,0.11152479383680555,0.07307942708333333,0.08563910590277778,0.06992594401041667,0.0764431423611111,0.07121446397569445,0.09339735243055555,0.11912027994791667,0.21293131510416666
